baseline,scenario,range,projected change (%),projected change (rainfall amount),projected seasonal rainfall amount 
629,RCP4.5,LOWER BOUND,4.2,26.7,655.9
629,RCP4.5,MEDIAN,10.2,64,693.2
629,RCP4.5,UPPER BOUND,43.9,276,905.2
629,RCP8.5,LOWER BOUND,2.3,14.5,643.7
629,RCP8.5,MEDIAN,13.8,87.1,716.3
629,RCP8.5,UPPER BOUND,32.9,207.2,836.4
387,RCP4.5,LOWER BOUND,-2.1,-8.3,378.5
387,RCP4.5,MEDIAN,12.6,48.6,435.4
387,RCP4.5,UPPER BOUND,24.8,95.8,482.6
387,RCP8.5,LOWER BOUND,-14.4,-55.8,331
387,RCP8.5,MEDIAN,-0.1,-0.5,386.3
387,RCP8.5,UPPER BOUND,28.3,109.4,496.2
845,RCP4.5,LOWER BOUND,-22.7,-191.6,653.4
845,RCP4.5,MEDIAN,-14.3,-121,724
845,RCP4.5,UPPER BOUND,-2.1,-17.7,827.3
845,RCP8.5,LOWER BOUND,-20.9,-176.2,668.8
845,RCP8.5,MEDIAN,-11,-93,752
845,RCP8.5,UPPER BOUND,7.5,63.8,908.8
1067,RCP4.5,LOWER BOUND,-9,-96.2,970.3
1067,RCP4.5,MEDIAN,-5.8,-61.8,1004.7
1067,RCP4.5,UPPER BOUND,5.7,60.5,1127
1067,RCP8.5,LOWER BOUND,-10.8,-115.5,951
1067,RCP8.5,MEDIAN,1.4,14.6,1081.1
1067,RCP8.5,UPPER BOUND,10.5,112.4,1178.9
