baseline,scenario,range,projected change (%),projected change (rainfall amount),projected seasonal rainfall amount 
107.5,RCP4.5,LOWER BOUND,-0.1,-0.2,107.3
107.5,RCP4.5,MEDIAN,17.7,19,126.5
107.5,RCP4.5,UPPER BOUND,55.5,59.6,167.1
107.5,RCP8.5,LOWER BOUND,2.7,2.9,110.4
107.5,RCP8.5,MEDIAN,27.8,29.9,137.4
107.5,RCP8.5,UPPER BOUND,53.4,57.4,164.9
198.5,RCP4.5,LOWER BOUND,0.7,1.3,199.8
198.5,RCP4.5,MEDIAN,6.9,13.7,212.2
198.5,RCP4.5,UPPER BOUND,25.7,51.1,246.9
198.5,RCP8.5,LOWER BOUND,-7.2,-14.3,184.2
198.5,RCP8.5,MEDIAN,4.8,9.6,208.1
198.5,RCP8.5,UPPER BOUND,19.8,39.4,237.9
1170.2,RCP4.5,LOWER BOUND,-21.3,-249.4,920.8
1170.2,RCP4.5,MEDIAN,-10.1,-118.6,1051.6
1170.2,RCP4.5,UPPER BOUND,-0.4,-5,1165.2
1170.2,RCP8.5,LOWER BOUND,-17,-199.3,970.9
1170.2,RCP8.5,MEDIAN,-6.1,-71.7,1098.5
1170.2,RCP8.5,UPPER BOUND,7.7,90.3,1260.5
758.7,RCP4.5,LOWER BOUND,-10.8,-82.3,676.4
758.7,RCP4.5,MEDIAN,-6,-45.2,713.5
758.7,RCP4.5,UPPER BOUND,7.7,58.5,817.2
758.7,RCP8.5,LOWER BOUND,-8,-60.6,698.1
758.7,RCP8.5,MEDIAN,3.9,29.6,788.3
758.7,RCP8.5,UPPER BOUND,19.9,150.7,909.4
