adm4_pcode,rwi_max,rwi_mean,rwi_min
PH137401001,0.7648559,0.707656263,0.655876606
PH137401001,0.7648559,0.707159195,0.659163396
PH137401001,0.7648559,0.706355585,0.660482912
PH137401001,0.7648559,0.707700382,0.665919514
PH137401001,0.777159162,0.732407388,0.689438692
PH137401001,0.798891707,0.78659885,0.77303906
PH137401001,0.795771434,0.784782226,0.772017855
PH137401002,0.695681669,0.695681669,0.695681669
PH137401002,0.695647878,0.695647878,0.695647878
PH137401002,0.680723744,0.680723744,0.680723744
PH137401002,0.682798115,0.682798115,0.682798115
PH137401002,0.781557189,0.781557189,0.781557189
PH137401002,0.788769422,0.788769422,0.788769422
PH137401002,0.671670179,0.671670179,0.671670179
PH137401003,0.706541398,0.682261484,0.643820805
PH137401003,0.706541398,0.6826401,0.643429481
PH137401003,0.706541398,0.684293233,0.643429481
PH137401003,0.706541398,0.683670154,0.643820805
PH137401003,0.745959557,0.736834757,0.722826635
PH137401003,0.803072826,0.78162582,0.756758279
PH137401003,0.794868804,0.780192408,0.756655029
PH137401004,0.706541398,0.695075043,0.686541212
PH137401004,0.706541398,0.695710306,0.688447
PH137401004,0.706541398,0.697914484,0.692142521
PH137401004,0.706541398,0.69695327,0.691510489
PH137401004,0.745959557,0.741504131,0.735650233
PH137401004,0.803072826,0.783100242,0.756758279
PH137401004,0.794868804,0.780830914,0.756655029
PH137401005,0.732910898,0.686303525,0.661502821
PH137401005,0.732910898,0.686564241,0.662545687
PH137401005,0.732910898,0.687073107,0.663933967
PH137401005,0.732910898,0.689500136,0.665589262
PH137401005,0.765019721,0.741699561,0.719255523
PH137401005,0.777194926,0.765478272,0.752403139
PH137401005,0.777703292,0.764818085,0.753698446
PH137401006,0.732910898,0.701885106,0.675945609
PH137401006,0.732910898,0.701885106,0.675945609
PH137401006,0.732910898,0.701885106,0.675945609
PH137401006,0.732910898,0.701727098,0.675945609
PH137401006,0.765019721,0.743284351,0.719255523
PH137401006,0.789469619,0.76963573,0.756758279
