Country,ISO2,ISO3,Indicator,Unit,Source,CTS Code,CTS Name,CTS Full Descriptor,2015,2016,2017,2018,2019,2020,2021,2022
Philippines,PH,PHL,IMF-Adapted ND-GAIN Index,,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.460190249,0.454198371,0.452091283,0.455110577,0.463955176,0.471113224,0.474250498,0.479822371
Philippines,PH,PHL,IMF-Adapted Readiness score,,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.39005528,0.37700373,0.372718937,0.376120598,0.384946078,0.394899434,0.396721544,0.403568494
Philippines,PH,PHL,"Readiness score, Governance",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.419986013,0.397519263,0.403627405,0.395594025,0.404214322,0.412983893,0.399750632,0.418068772
Philippines,PH,PHL,"Readiness score, IMF-Adapted Economic",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.481895189,0.460229035,0.447902838,0.472068024,0.485686297,0.500389936,0.510766957,0.513850959
Philippines,PH,PHL,"Readiness score, Social",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.268284639,0.273262893,0.266626569,0.260699745,0.264937614,0.271324473,0.279647043,0.278785751
Philippines,PH,PHL,Vulnerability score,,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.469674782,0.468606989,0.46853637,0.465899444,0.457035726,0.452672987,0.448220548,0.443923753
Philippines,PH,PHL,"Vulnerability score, Capacity",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.577716494,0.574268009,0.573398776,0.567820273,0.545991898,0.531457846,0.502521997,0.50123376
Philippines,PH,PHL,"Vulnerability score, Ecosystems",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.425986427,0.427452417,0.428156246,0.428860075,0.428847843,0.428835611,0.430298026,0.429499886
Philippines,PH,PHL,"Vulnerability score, Exposure",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.492328186,0.492328186,0.492328186,0.492328186,0.492328186,0.492328186,0.492328186,0.492328186
Philippines,PH,PHL,"Vulnerability score, Food",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.524201162,0.521770165,0.517130858,0.514234207,0.515078284,0.511646196,0.50648875,0.507960798
Philippines,PH,PHL,"Vulnerability score, Habitat",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.573149563,0.573318351,0.568849419,0.564542232,0.559163568,0.553841049,0.548473851,0.543180794
Philippines,PH,PHL,"Vulnerability score, Heath",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.401084834,0.403035175,0.408358015,0.394217435,0.392124063,0.391837093,0.417483461,0.392178956
Philippines,PH,PHL,"Vulnerability score, Infrastructure",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.404696738,0.397286733,0.398918027,0.40400452,0.359721758,0.342989639,0.300088105,0.304634838
Philippines,PH,PHL,"Vulnerability score, Sensitivity",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.338979665,0.339224772,0.339882149,0.337549873,0.332787093,0.334232928,0.349811462,0.338209312
Philippines,PH,PHL,"Vulnerability score, Water",,ND-GAIN (https://gain.nd.edu/our-work/country-index/download-data/); Findex -The Global Findex Database 2021 (https://www.worldbank.org/en/publication/globalfindex); Worldwide Governance Indicators (https://info.worldbank.org/governance/wgi/); IMF staff calculations.,ECCG,,"Environment, Climate Change, Adaptation, IMF-Adapted ND-GAIN Index",0.488929966,0.488779093,0.489805656,0.489538196,0.487278838,0.486888331,0.486491097,0.486087244
